t_C,T_K,Ps_bar,vl_m3_kg,vg_m3_kg,Hl_kJ_kg,Hv_kJ_kg,delta_hv,sl_kJ_kgK,sv_kJ_kgK,Cpl_kJ_kgK,Cpv_kJ_kgK,wl_m_s,wv_m_s,kl_1,kv_1,etal_uPas,etav_uPas,lambda_mW_mK,lambda_mW_mK
0,273.15,0.006112127,0.00100021,206.14,-0.04159,2500.89,2500.93,-0.0001545,9.1558,4.2199,1.8882,1402.3,408.88,3216538,1.3269,1792,8.945,562,16.49
0.01,273.16,0.00611657,0.00100021,205.997,0.00061,2500.91,2500.91,0,9.1555,4.2199,1.8882,1402.3,408.89,3214432,1.3269,1791.4,8.946,562,16.49
1,274.15,0.00657088,0.00100015,192.445,4.17665,2502.73,2498.55,0.01526,9.1291,4.2165,1.8889,1407.2,409.61,3013281,1.3268,1731.2,8.974,564.1,16.56
2,275.15,0.00705988,0.00100011,179.764,8.3916,2504.57,2496.17,0.030606,9.1027,4.2134,1.8895,1412.1,410.34,2824038,1.3268,1673.7,9.003,566.2,16.64
3,276.15,0.00758082,0.00100008,168.014,12.6035,2506.4,2493.8,0.045886,9.0765,4.2105,1.8902,1416.8,411.07,2647765,1.3267,1619.2,9.032,568.2,16.71
4,277.15,0.00813549,0.00100007,157.121,16.8127,2508.24,2491.42,0.061101,9.0506,4.2078,1.8909,1421.5,411.8,2483500,1.3266,1567.4,9.061,570.3,16.78
5,278.15,0.00872575,0.00100008,147.017,21.0194,2510.07,2489.05,0.076252,9.0249,4.2054,1.8917,1426,412.53,2330358,1.3266,1518.3,9.09,572.3,16.85
6,279.15,0.00935353,0.00100011,137.638,25.2237,2511.91,2486.68,0.09134,8.9994,4.2031,1.8924,1430.5,413.25,2187526,1.3265,1471.6,9.12,574.3,16.92
7,280.15,0.0100209,0.00100014,128.928,29.4258,2513.74,2484.31,0.10637,8.9742,4.2011,1.8932,1434.9,413.97,2054253,1.3264,1427.2,9.149,576.2,17
8,281.15,0.0107299,0.0010002,120.834,33.626,2515.57,2481.94,0.12133,8.9492,4.1992,1.894,1439.1,414.69,1929849,1.3264,1384.8,9.179,578.1,17.07
9,282.15,0.0114828,0.00100027,113.309,37.8244,2517.4,2479.58,0.13624,8.9244,4.1974,1.8949,1443.3,415.41,1813676,1.3263,1344.5,9.209,580,17.14
10,283.15,0.0122818,0.00100035,106.309,42.0211,2519.23,2477.21,0.15109,8.8998,4.1958,1.8957,1447.4,416.13,1705145,1.3262,1306,9.238,581.9,17.21
11,284.15,0.0131295,0.00100044,99.7927,46.2162,2521.06,2474.84,0.16587,8.8755,4.1943,1.8966,1451.4,416.84,1603714,1.3262,1269.2,9.268,583.8,17.29
12,285.15,0.0140282,0.00100055,93.7243,50.41,2522.89,2472.48,0.18061,8.8514,4.193,1.8975,1455.3,417.55,1508881,1.3261,1234.1,9.299,585.6,17.36
13,286.15,0.0149806,0.00100067,88.0698,54.6024,2524.71,2470.11,0.19528,8.8275,4.1917,1.8985,1459.1,418.26,1420182,1.326,1200.5,9.329,587.4,17.43
14,287.15,0.0159894,0.0010008,82.7981,58.7936,2526.54,2467.75,0.2099,8.8038,4.1905,1.8994,1462.8,418.97,1337189,1.3259,1168.4,9.359,589.2,17.51
15,288.15,0.0170574,0.00100095,77.8807,62.9837,2528.36,2465.38,0.22447,8.7804,4.1894,1.9004,1466.4,419.68,1259505,1.3258,1137.6,9.39,591,17.58
