t_C,vg_m3_kg,Hg_kJ_kg,sv_kJ_kgK,Cpv_kJ_kgK,wv_m_s,kv_1,etav_uPas,lambdav_mW_mK
100,1.69596,2675.77,7.361,2.0741,472.34,1.3155,12.23,24.78
110,1.74482,2696.32,7.4154,2.0399,479.27,1.3165,12.62,25.51
120,1.79324,2716.61,7.4676,2.0187,485.89,1.3166,13.01,26.29
130,1.84132,2736.72,7.5181,2.0039,492.31,1.3163,13.4,27.1
140,1.88913,2756.7,7.5671,1.9933,498.57,1.3158,13.8,27.94
150,1.93673,2776.59,7.6147,1.9857,504.7,1.3152,14.19,28.8
160,1.98414,2796.42,7.661,1.9805,510.7,1.3145,14.59,29.68
170,2.0314,2816.21,7.7062,1.9772,516.59,1.3137,14.99,30.58
180,2.07853,2835.97,7.7503,1.9755,522.38,1.3129,15.39,31.49
190,2.12556,2855.72,7.7934,1.9751,528.07,1.3119,15.8,32.42
200,2.17249,2875.48,7.8356,1.9757,533.67,1.311,16.2,33.37
210,2.21935,2895.24,7.8769,1.9772,539.19,1.3099,16.61,34.33
220,2.26614,2915.02,7.9174,1.9793,544.62,1.3089,17.02,35.3
230,2.31287,2934.83,7.9572,1.9821,549.98,1.3078,17.43,36.28
240,2.35955,2954.66,7.9962,1.9854,555.27,1.3067,17.84,37.27
