t_C,vg_m3_kg,Hg_kJ_kg,sv_kJ_kgK,Cpv_kJ_kgK,wv_m_s,kv_1,etav_uPas,lambdav_mW_mK
81,3.24015,2645.21,7.593,2.0155,462.16,1.3184,11.58,22.98
85,3.27556,2652.61,7.6137,2.0024,464.81,1.3191,11.72,23.26
90,3.32345,2662.59,7.6414,1.9896,468.28,1.3196,11.91,23.64
95,3.37119,2672.51,7.6685,1.9804,471.66,1.3198,12.1,24.03
100,3.41878,2682.4,7.6952,1.9732,474.97,1.3197,12.29,24.43
110,3.51362,2702.07,7.7472,1.963,481.45,1.3194,12.67,25.24
120,3.60809,2721.67,7.7977,1.9562,487.78,1.3189,13.05,26.07
130,3.70224,2741.21,7.8468,1.9519,493.98,1.3182,13.44,26.92
140,3.79615,2760.71,7.8946,1.9494,500.06,1.3174,13.83,27.79
150,3.88985,2780.2,7.9412,1.9484,506.03,1.3166,14.22,28.67
160,3.98338,2799.68,7.9867,1.9486,511.9,1.3157,14.62,29.57
170,4.07677,2819.18,8.0312,1.9498,517.67,1.3147,15.02,30.48
180,4.17003,2838.68,8.0747,1.9518,523.36,1.3137,15.42,31.41
190,4.26319,2858.21,8.1174,1.9544,528.96,1.3126,15.82,32.35
200,4.35627,2877.77,8.1591,1.9576,534.48,1.3115,16.22,33.3
210,4.44926,2897.37,8.2001,1.9612,539.93,1.3104,16.63,34.26
220,4.5422,2917,8.2403,1.9652,545.31,1.3093,17.03,35.23
230,4.63507,2936.67,8.2798,1.9696,550.61,1.3082,17.44,36.22
240,4.7279,2956.39,8.3186,1.9742,555.86,1.307,17.85,37.22
